"ensembl_id","gene_symbol","log2FoldChange","padj","baseMean"
"ENSG00000139330","KERA",6.52420964876494,8.2212323395183e-08,60.7142857142857
"ENSG00000144278","GALNT13",6.00805908144706,3.26568324272741e-06,29.3714285714286
"ENSG00000056998","GYG2",5.89149547825243,2.5211155210864e-08,728.428571428572
"ENSG00000133317","LGALS12",5.67656791730851,3.23343334599867e-08,445.828571428572
"ENSG00000205076","LGALS7",5.52113800224553,0.00012611446832283,30
"ENSG00000116690","PRG4",5.29282940667888,2.46853627386704e-12,1976.51428571429
"ENSG00000108821","COL1A1",5.14592509417014,2.33656698106805e-08,61727.8
"ENSG00000105509","HAS1",4.97619311515855,9.25314334950452e-05,29.8285714285714
"ENSG00000115884","SDC1",4.77423269497003,9.05867201300398e-06,118.514285714286
"ENSG00000134962","KLB",4.33440471640324,1.27457933458792e-05,214.2
"ENSG00000064886","CHI3L2",4.17315574235607,1.62547893594474e-06,151.2
"ENSG00000111537","IFNG",4.11708713037901,0.00847810541678851,4.34285714285714
"ENSG00000041982","TNC",4.09127474818414,7.89438152139562e-16,2494.51428571429
"ENSG00000087116","ADAMTS2",4.07539451945587,4.24639949883792e-10,1589.8
"ENSG00000123500","COL10A1",4.04689613861451,7.84276764902135e-05,31.4571428571429
"ENSG00000099194","SCD",3.97567583221964,2.08655781855048e-07,11948.2571428571
"ENSG00000179914","ITLN1",3.8752665260886,0.0378820247722197,76.5142857142857
"ENSG00000180767","CHST13",3.87412115217488,0.000289925094211765,11.5714285714286
"ENSG00000082293","COL19A1",3.86107787334399,1.46733221049305e-06,67.5428571428571
"ENSG00000182566","CLEC4G",3.75610236330355,8.4772570873847e-06,29.8571428571429
"ENSG00000133048","CHI3L1",3.73270507730436,9.98488249703418e-06,277.571428571429
"ENSG00000176092","CRYBG2",3.63434180754494,0.00102703590528666,7.82857142857143
"ENSG00000121552","CSTA",3.56995568383601,1.90424259514455e-05,105.971428571429
"ENSG00000066468","FGFR2",3.52613371078549,0.000159487355061489,39.2285714285714
"ENSG00000182601","HS3ST4",3.48398553093497,0.0302782081883909,2.77142857142857
"ENSG00000137801","THBS1",3.48065341368985,1.49793696186925e-13,1443.97142857143
"ENSG00000187955","COL14A1",3.45156766801673,9.11549762019446e-09,4485.62857142857
"ENSG00000105205","CLC",3.41667198484431,0.00857443532201815,49.6857142857143
"ENSG00000179913","B3GNT3",3.41087255084297,0.0422813029096174,2.54285714285714
"ENSG00000133063","CHIT1",3.39587235715455,0.00027304516727199,24.9714285714286
"ENSG00000130035","GALNT8",3.37560575994166,2.04332935809867e-07,60.1714285714286
"ENSG00000186340","THBS2",3.36257021270782,1.11416686649749e-07,1339.17142857143
"ENSG00000173391","OLR1",3.35700628847515,0.0142241839759156,3.57142857142857
"ENSG00000182272","B4GALNT4",3.34567824229331,0.000537873401088856,18.2857142857143
"ENSG00000102265","TIMP1",3.31470309773854,1.11206132089108e-08,2835.85714285714
"ENSG00000141505","ASGR1",3.26972147415089,9.00586636726023e-06,39.2571428571429
"ENSG00000158815","FGF17",3.2681725038009,0.000131407206773202,8.62857142857143
"ENSG00000197635","DPP4",3.24805608933227,2.28191076532233e-07,762.028571428572
"ENSG00000167769","ACER1",3.24585654590127,0.0489494775379625,2.31428571428571
"ENSG00000161944","ASGR2",3.23956937244281,0.000114496862581214,30.7428571428572
