"gene_symbol","log2FoldChange","padj","baseMean","regulation","ensembl_id"
"SPHK1",2.59790158321547,3.51998495129224e-06,434.085714285714,"Up-regulated","ENSG00000176170"
"SELL",2.5865522318606,0.00186215486161875,840.914285714286,"Up-regulated","ENSG00000188404"
"SIGLEC8",2.5814080117721,0.000790520640623409,19.6285714285714,"Up-regulated","ENSG00000105366"
"ST6GAL2",2.54284071959291,0.0116411929838844,8.4,"Up-regulated","ENSG00000144057"
"SIGLEC1",2.53347384019911,1.29616255939386e-07,1109.17142857143,"Up-regulated","ENSG00000088827"
"PLAUR",2.53302028777064,6.95282822919447e-07,206.4,"Up-regulated","ENSG00000011422"
"AOAH",2.52222851882391,8.96642188940564e-05,163.857142857143,"Up-regulated","ENSG00000136250"
"GALNTL6",2.5104185191338,0.00138551460501207,27.3428571428571,"Up-regulated","ENSG00000174473"
"FMOD",2.48836874486397,4.80822261572793e-06,3064.37142857143,"Up-regulated","ENSG00000122176"
"SIGLEC6",2.4783320887395,0.00153798216212654,13.4,"Up-regulated","ENSG00000105492"
"TNR",2.47802664547904,0.03085626514917,6.74285714285714,"Up-regulated","ENSG00000116147"
"HPSE2",2.47180367468856,7.92042370249794e-05,49.4,"Up-regulated","ENSG00000172987"
"VCAN",2.46439991930684,2.89402061066659e-07,2457.91428571429,"Up-regulated","ENSG00000038427"
"SELPLG",2.45657748920003,5.62275743909006e-05,562.514285714286,"Up-regulated","ENSG00000110876"
"LYZ",2.42592527789545,0.00101726457401624,2103.68571428571,"Up-regulated","ENSG00000090382"
"CST7",2.42255099783147,0.000449195368925048,107.514285714286,"Up-regulated","ENSG00000077984"
"CLEC5A",2.39317689593933,0.00666369880694615,13.7714285714286,"Up-regulated","ENSG00000258227"
"FBP1",2.38987616830402,5.42008702461342e-05,79.4,"Up-regulated","ENSG00000165140"
"ITGB2",2.38605682532048,0.000123598362796646,1516.82857142857,"Up-regulated","ENSG00000160255"
"CLEC10A",2.38278118653192,8.10687996128146e-07,308.057142857143,"Up-regulated","ENSG00000132514"
"MDK",2.34957135860082,0.000136401847951168,600.285714285714,"Up-regulated","ENSG00000110492"
"MRC1",2.34543516763088,3.19342924948452e-06,911.685714285714,"Up-regulated","ENSG00000260314"
"CD22",2.34338910435227,0.00138551460501207,126.142857142857,"Up-regulated","ENSG00000012124"
"HSD3B7",2.33490533985647,0.000116459513388473,477.942857142857,"Up-regulated","ENSG00000099377"
"GALNT5",2.32803725109595,0.00382753686599874,39.1428571428571,"Up-regulated","ENSG00000136542"
"CLEC4E",2.32765322256632,0.00965842993432229,71.6285714285715,"Up-regulated","ENSG00000166523"
"GCK",2.31179033424595,0.00326399001282082,14.5142857142857,"Up-regulated","ENSG00000106633"
"P3H3",2.30260441422983,3.18200453446123e-05,716.114285714286,"Up-regulated","ENSG00000110811"
"RENBP",2.29098458840882,1.05014122528589e-05,247.4,"Up-regulated","ENSG00000102032"
"SIGLEC15",2.28937489393894,0.0119405503450527,4.42857142857143,"Up-regulated","ENSG00000197046"
"OGN",2.2779120076506,0.000717837520870029,1124.34285714286,"Up-regulated","ENSG00000106809"
"GPC6",2.27264861231552,3.49704179427517e-06,320.285714285714,"Up-regulated","ENSG00000183098"
"ANXA1",2.26173706792721,1.15034035678854e-07,6734.51428571429,"Up-regulated","ENSG00000135046"
"CHST6",2.25423272132684,0.00397615250711773,24.9714285714286,"Up-regulated","ENSG00000183196"
"CD33",2.22948851107837,1.30013159343788e-05,162.8,"Up-regulated","ENSG00000105383"
"TIMP2",2.20873996454812,5.55273402256502e-06,10699.2571428571,"Up-regulated","ENSG00000035862"
"HAPLN3",2.19478874530293,1.15034035678854e-07,454.371428571429,"Up-regulated","ENSG00000140511"
"HPSE",2.19472716299309,0.000881536169268876,64.1142857142857,"Up-regulated","ENSG00000173083"
"COLEC11",2.19143776526321,0.00354699204801491,40.6,"Up-regulated","ENSG00000118004"
"HS3ST2",2.17454111473439,0.000496334616883465,49.3142857142857,"Up-regulated","ENSG00000122254"
"SIGLEC7",2.17287742139974,0.00355948041161016,21.3714285714286,"Up-regulated","ENSG00000168995"
"SLC26A9",-2.17157703138003,0.0308185254479304,280.028571428571,"Down-regulated","ENSG00000174502"
"CLEC11A",2.16473663243821,0.000132606854778058,417.685714285714,"Up-regulated","ENSG00000105472"
"CLEC3B",2.16468163866382,8.45847264634923e-05,3183.48571428571,"Up-regulated","ENSG00000163815"
"L1CAM",2.16420211408687,5.58977239177779e-06,265.2,"Up-regulated","ENSG00000198910"
"SELE",2.15365975016954,0.00036120942823437,15.2857142857143,"Up-regulated","ENSG00000007908"
"CES1",2.15264513462319,0.000122843741884179,664.8,"Up-regulated","ENSG00000198848"
"SIGLEC9",2.14957412304008,0.00311426068143861,54.4,"Up-regulated","ENSG00000129450"
"CD44",2.12858084837958,3.1971078815241e-06,6064.97142857143,"Up-regulated","ENSG00000026508"
"CTSS",2.126857894574,0.000435732992361926,1852.05714285714,"Up-regulated","ENSG00000163131"
"G6PD",2.11710524306375,3.36606925122601e-06,498.4,"Up-regulated","ENSG00000160211"
"ASPN",2.10142645209411,7.89207084479489e-05,2651.34285714286,"Up-regulated","ENSG00000106819"
"VCAM1",2.09658775225745,4.41040670634859e-06,404.685714285714,"Up-regulated","ENSG00000162692"
"TNXB",2.07564781149665,3.57617047041397e-07,15965.6571428571,"Up-regulated","ENSG00000168477"
"GPNMB",2.04282605569787,0.000110113413710085,4766.68571428572,"Up-regulated","ENSG00000136235"
"TNF",2.01918721120103,0.000280364704616617,33,"Up-regulated","ENSG00000232810"
"COL9A2",2.0168573838511,0.000819460665223133,78.6571428571429,"Up-regulated","ENSG00000049089"
"GALNT17",2.01060078600953,0.000492139127269107,240,"Up-regulated","ENSG00000185274"
"B3GNT7",1.99494264563236,9.68063934407844e-05,49.5428571428571,"Up-regulated","ENSG00000156966"
"PLPP2",1.97584651544548,0.0112528725714276,65.5428571428571,"Up-regulated","ENSG00000141934"
"FBXO17",1.95976008447745,1.14661158029946e-05,371.4,"Up-regulated","ENSG00000269190"
"SELP",1.95914229190869,1.89818813793054e-06,244.685714285714,"Up-regulated","ENSG00000174175"
"SIGLEC10",1.9538084473142,0.00628096470887583,98,"Up-regulated","ENSG00000142512"
