"","logFC","logCPM","PValue","FDR","regulation"
"PECAM1",4.6916300152715,-2.09943688135,0.285714285714286,1,"Up"
"ICAM3",4.6916300152715,-2.09943688135,0.285714285714286,1,"Up"
"CALR3",4.6916300152715,-2.09943688135,0.285714285714286,1,"Up"
"LGALS7",4.6916300152715,-2.09943688135,0.285714285714286,1,"Up"
"ABO",-4.59773698223511,-2.11030369215588,0.285714285714286,1,"Down"
"CD69",-4.59773698223511,-2.11030369215588,0.285714285714286,1,"Down"
"KLRC2",-4.59773698223511,-2.11030369215588,0.285714285714286,1,"Down"
"ST6GALNAC1",-4.59773698223511,-2.11030369215588,0.285714285714286,1,"Down"
"CD209",-4.59773698223511,-2.11030369215588,0.285714285714286,1,"Down"
"ADAMTS10",-4.59773698223511,-2.11030369215588,0.285714285714286,1,"Down"
"CST7",-4.59773698223511,-2.11030369215588,0.285714285714286,1,"Down"
"MGAT3",-4.58878719286462,3.40398130808742,3.62816375123363e-08,4.65192612676983e-06,"Down"
"CES1",4.40392794809955,0.702270936361649,5.77951239982508e-05,0.00232104980954795,"Up"
"SDC1",-4.36223381289868,5.24937516032099,1.37291694326114e-08,2.00656268780159e-06,"Down"
"SVOPL",-4.34522129528885,0.759106045088143,4.203367577386e-05,0.00180825145421967,"Down"
"NLGN3",4.32910084011891,2.09117374204649,1.31275642357165e-06,9.57290245350562e-05,"Up"
"SGPP2",-4.3256569595551,5.09757510036411,1.90461933063271e-08,2.67927562788431e-06,"Down"
"GAL3ST3",4.29733089035475,0.608220167132258,9.50166342382029e-05,0.00350589573242586,"Up"
"GCNT3",-4.18847608415552,3.94744192402059,9.87186513016852e-08,1.07028897689683e-05,"Down"
"FGF10",4.13431497068946,-2.3235602305462,0.523809523809524,1,"Up"
"COL10A1",4.13431497068946,-2.3235602305462,0.523809523809524,1,"Up"
"FCER2",4.13431497068946,-2.3235602305462,0.523809523809524,1,"Up"
"CLEC4G",4.13431497068946,-2.3235602305462,0.523809523809524,1,"Up"
"NT5M",4.12696945392071,4.87047275840374,5.90835351265941e-08,7.02869225800914e-06,"Up"
"PHACTR1",-4.11107018834704,3.17234690304547,4.42358054897988e-07,3.7885913837222e-05,"Down"
"CHI3L2",-4.04226224866678,-2.33108306092993,0.523809523809524,1,"Down"
"SELL",-4.04226224866678,-2.33108306092993,0.523809523809524,1,"Down"
"PRG4",-4.04226224866678,-2.33108306092993,0.523809523809524,1,"Down"
"UGT2B15",-4.04226224866678,-2.33108306092993,0.523809523809524,1,"Down"
"ESM1",-4.04226224866678,-2.33108306092993,0.523809523809524,1,"Down"
"CLEC5A",-4.04226224866678,-2.33108306092993,0.523809523809524,1,"Down"
"NDST2",-4.04226224866678,-2.33108306092993,0.523809523809524,1,"Down"
"MGAT4C",-4.04226224866678,-2.33108306092993,0.523809523809524,1,"Down"
"FUT5",-4.04226224866678,-2.33108306092993,0.523809523809524,1,"Down"
"SLC5A4",-4.04226224866678,-2.33108306092993,0.523809523809524,1,"Down"
"B3GNT5",-3.97732864603035,3.97796501705008,2.71284282793322e-07,2.49426393929696e-05,"Down"
"GYG2",3.88315853953739,3.49876475929746,6.33947654443109e-07,5.16979718374773e-05,"Up"
"FGF2",-3.88147785969483,4.93077976235626,2.40837134865549e-07,2.25110709995841e-05,"Down"
"GALNTL6",3.88004723897938,2.51791136879963,3.21775938544319e-06,0.00020481912088179,"Up"
"MRC2",3.82746107028788,7.82422905393958,1.7663290327719e-07,1.72057990832341e-05,"Up"
"HS3ST3B1",3.81007914524708,3.96458178130814,6.58741281217992e-07,5.34102494997913e-05,"Up"
"PTN",3.75784397581603,1.78040874333081,1.92961074382701e-05,0.000940062917267548,"Up"
"B3GNT3",-3.73070397722955,0.233944474309759,0.00074710593628716,0.0178462924137304,"Down"
"NOTUM",3.66514106634968,4.28564584984234,1.00143656587426e-06,7.61484244934845e-05,"Up"
"KHK",3.64051667993698,0.924256654440511,0.000168570590264378,0.00555020394592527,"Up"
"GCNT4",-3.62760480793611,4.2842428036879,1.47062706821137e-06,0.000105147032403031,"Down"
"SLC2A14",-3.55832451287312,-0.680150275610894,0.0102150537634409,0.120123481758632,"Down"
"ACHE",3.50515567081507,4.90287263455637,1.86210126253766e-06,0.000127934769159623,"Up"
"CHI3L1",3.46758208825729,8.78853964937619,1.43258407793128e-06,0.000103081935397846,"Up"
"L1CAM",-3.39054981517684,7.96414756818612,2.35352992681761e-06,0.000156908501720498,"Down"
"XYLT1",3.3623181845507,1.61164045249703,0.000101615868740781,0.00369368431406653,"Up"
"B3GNT7",3.35407905030188,1.42256659890728,0.000154728740138249,0.00522281432443858,"Up"
"ST6GALNAC2",-3.28987849806249,0.734135166665503,0.000533686413488453,0.0138323356981031,"Down"
"CLEC4E",-3.28549352020939,-0.124633673912186,0.00455057732791801,0.0689807208148217,"Down"
"LGALS4",3.26170380560039,-0.99241833536103,0.0399704909450037,0.310349048569672,"Up"
"GALNT12",-3.25848664473325,2.18374324489122,7.07692058144108e-05,0.00276535586247992,"Down"
"UGT3A1",-3.25001197444963,5.58153159447032,6.82233322895996e-06,0.000386203086982242,"Down"
"GNPTAB",-3.21758729119728,7.29832630963901,6.49626237067324e-06,0.000369977922404264,"Down"
"CLEC2L",3.21421377011628,-2.58846324667517,1,1,"Up"
"CLEC11A",3.16875291692085,4.53955629512385,1.41687591018026e-05,0.00072346815417362,"Up"
"NCEH1",-3.16745924201604,6.10473920957895,9.66692440221693e-06,0.000523530480450765,"Down"
"ST6GAL2",3.15732244836578,1.99083719665556,0.000130333155803795,0.00449094693442974,"Up"
"SLC26A9",-3.14883228877265,-0.230337130220521,0.00753089017827616,0.0980915878336623,"Down"
"EXTL1",3.13228797627632,5.16644058774135,1.35939552547939e-05,0.000697281921815857,"Up"
"S100A8",-3.127273052337,-2.5923749025982,1,1,"Down"
"SELP",-3.127273052337,-2.5923749025982,1,1,"Down"
"SFTPB",-3.127273052337,-2.5923749025982,1,1,"Down"
"UGT1A6",-3.127273052337,-2.5923749025982,1,1,"Down"
"LYZL4",-3.127273052337,-2.5923749025982,1,1,"Down"
"CSTA",-3.127273052337,-2.5923749025982,1,1,"Down"
"A4GNT",-3.127273052337,-2.5923749025982,1,1,"Down"
"MRC1",-3.127273052337,-2.5923749025982,1,1,"Down"
"SFTPA1",-3.127273052337,-2.5923749025982,1,1,"Down"
"PRG2",-3.127273052337,-2.5923749025982,1,1,"Down"
"FGF19",-3.127273052337,-2.5923749025982,1,1,"Down"
"GALNT8",-3.127273052337,-2.5923749025982,1,1,"Down"
"CLEC6A",-3.127273052337,-2.5923749025982,1,1,"Down"
"KLRK1",-3.127273052337,-2.5923749025982,1,1,"Down"
"ST8SIA3",-3.127273052337,-2.5923749025982,1,1,"Down"
"LGALS14",-3.127273052337,-2.5923749025982,1,1,"Down"
"SIGLEC1",-3.127273052337,-2.5923749025982,1,1,"Down"
"GCNT7",-3.127273052337,-2.5923749025982,1,1,"Down"
"SPACA5",-3.127273052337,-2.5923749025982,1,1,"Down"
"FGF16",-3.127273052337,-2.5923749025982,1,1,"Down"
"TNC",-3.11994427980397,10.2283411721424,1.0503032314321e-05,0.000563926646273402,"Down"
"SCD",-3.09226259042716,8.23119015945043,1.25261177907062e-05,0.00064841961542341,"Down"
"GPNMB",-3.03699071438656,8.25540515782979,1.70460454571408e-05,0.000852590161624761,"Down"
"FUT8",-3.01060066402413,6.14052189399494,2.27868284478767e-05,0.00107928623731782,"Down"
"SDF2L1",3.01053627680789,4.66999626219516,2.97274345270534e-05,0.00134897823661513,"Up"
"LIPA",-2.99446618568693,4.52303123772047,3.53033853150648e-05,0.0015641071688684,"Down"
"MGAT4A",-2.96921229120802,3.7904017145391,5.40879483666168e-05,0.00221827606898044,"Down"
"GCNT1",-2.9494909568436,3.53259148928298,6.02340211608839e-05,0.00239696473599843,"Down"
"FBXO2",2.94825594495413,3.76390355717824,5.39928656729646e-05,0.00221599165466962,"Up"
"GALK1",2.93323321395728,5.83335413441894,3.54193959461144e-05,0.00156683489818547,"Up"
"LY75",-2.93135618139486,1.16914728535996,0.000698785092395457,0.0173215587506608,"Down"
"ASAH2",-2.90581413065204,1.32671461561224,0.00057573590147332,0.0147927321643846,"Down"
"CHST6",-2.88871314607865,3.47954737127642,8.38153452336149e-05,0.00315676416395601,"Down"
"FGF5",-2.85840682369356,4.63524114632424,6.53565236958691e-05,0.00258073419778446,"Down"
"B4GALT6",-2.85544335582863,1.71660212286722,0.000405475977629826,0.0110357721677978,"Down"
"B3GNTL1",2.83163797247581,0.537325397085263,0.00341954621576441,0.056277989474948,"Up"
"HS3ST5",2.82654255350726,3.2869740427493,0.000139337032123671,0.00475461216529221,"Up"
"GCNT2",-2.80335722907773,2.86880293646918,0.000192637725854726,0.00621176630150118,"Down"
"B3GAT1",-2.80159819978687,1.0618584159077,0.00126708381916788,0.0272857020362638,"Down"
"LARGE2",2.75448958484121,-1.31786002497421,0.124959742351047,0.659849825671081,"Up"
"CLEC4D",2.75448958484121,-1.31786002497421,0.124959742351047,0.659849825671081,"Up"
"MAN1A1",-2.7534146496281,4.78580128180946,0.00011153027311116,0.00401259394993086,"Down"
"GXYLT1",-2.73961502963641,4.58051264917783,0.000119705744342188,0.00423364080979925,"Down"
"CTSH",-2.7031000804233,6.47137817803887,0.000112896662940002,0.00403594811116326,"Down"
"FGFR3",2.69443602126475,3.54359944705749,0.000202145072180013,0.00644082733097232,"Up"
"CERS1",2.69436718172558,0.867295018730413,0.00309260201601634,0.0519921191631979,"Up"
"LGALS1",2.66007044169197,7.4919093970263,0.000132995385691873,0.0045654899861644,"Up"
"MAN2A1",-2.64462565603139,5.52488012797106,0.000163301202003185,0.00545795871238383,"Down"
"DPY19L1",-2.64128134876294,5.66327907204142,0.000165476792119518,0.00546743830717848,"Down"
"UGT8",-2.62101530528221,5.97952587545339,0.000178600079937032,0.00583603246107831,"Down"
"PIGZ",2.59329369903942,1.26368714802991,0.00235169346872807,0.0427961850537587,"Up"
"HS3ST3A1",2.58178259930881,3.03865264321683,0.000473445756961277,0.0126137875466165,"Up"
"ITGB1",-2.57504178423097,9.39750214812406,0.000199958043100893,0.00640613871048445,"Down"
"SMPD3",2.57467464189122,0.569390790718448,0.0063821299081439,0.0873124405060417,"Up"
"GCK",2.56256783833353,2.19429856162353,0.000789106930232247,0.0187035627031332,"Up"
"GM2A",-2.54474185866851,2.41549413484269,0.000822131099618595,0.0192591568877763,"Down"
"CHST1",2.50711413288654,1.32312107770094,0.00293641950599323,0.0499818649801817,"Up"
"FUT1",2.48265230580545,-0.812468117981045,0.0729734211235395,0.466713052193731,"Up"
"ADAMTS15",2.47710454031812,1.89720405311935,0.00137289937899452,0.0289440521381201,"Up"
"LYG1",2.47399864501103,1.97407532938819,0.00133543207022441,0.0283292734229833,"Up"
"SLC3A1",-2.46396328771384,2.63539512071023,0.000958778862648023,0.0219039901836547,"Down"
"SLC26A1",-2.45086564799535,2.4593916758812,0.00119496222189679,0.0259711584642374,"Down"
"SPOCK2",2.44925005869933,8.14036620308325,0.00038233626840973,0.0106661772370586,"Up"
"HSPG2",-2.44808695471109,8.05186459248762,0.00038534592479079,0.0107129594081289,"Down"
"NCAM2",2.4259066068968,2.21454302080286,0.00136464573427896,0.0288258487377394,"Up"
"ST8SIA4",-2.40567173957775,2.68764940918259,0.00115900273080158,0.0253659761413746,"Down"
"B3GALT4",2.38823946494706,1.55681427472493,0.00251728480392951,0.0451530438738634,"Up"
"PMM2",-2.35773775371193,2.95292844329721,0.0011864409918178,0.025834665164889,"Down"
"UST",-2.35154417585559,3.49604354128405,0.00106681035992036,0.0237078799930326,"Down"
"GALNT16",-2.3315514245829,1.01899735891461,0.00571616871270906,0.0824303170926259,"Down"
"HPSE",-2.32298985031603,0.681333599008352,0.00815830102267552,0.104411412562564,"Down"
"GALNT6",-2.3032071166186,5.97256037825164,0.000856374847164872,0.0200032780027192,"Down"
"FGF8",2.2788166647213,-1.58362908989547,0.282608695652174,1,"Up"
"FGF7",2.27723266449373,1.81445146803959,0.00306905257738204,0.0516734049900389,"Up"
"SLC26A4",2.26827201677523,2.14845788556742,0.00277158754358725,0.0487053277608092,"Up"
"SLC26A2",-2.25846338439065,5.01671586102103,0.00116424077908462,0.025450918569663,"Down"
"MGAM",-2.25343007801695,0.199095564192369,0.0196149576707273,0.194213276997036,"Down"
"COLEC10",-2.25343007801695,0.199095564192369,0.0196149576707273,0.194213276997036,"Down"
"COLEC12",-2.25232274338467,3.72670127928206,0.00145125085521356,0.0297163152736578,"Down"
"ATRNL1",2.24695964030735,3.84264518245762,0.00142487611421409,0.0293793895458823,"Up"
"NAGLU",2.21918886576301,7.0426741972036,0.00120399573412606,0.0261271253233858,"Up"
"CLEC2B",2.19874422814824,2.59944300800274,0.00289445458702512,0.049473895855807,"Up"
"ELOVL4",-2.19443352012242,5.58748070649366,0.00146668185153352,0.0299777410475625,"Down"
"B3GNT8",2.19162408643998,1.66737491068178,0.00484732970105987,0.0724639731532779,"Up"
"COL1A1",2.17724168352087,7.19274750933335,0.00145077807586966,0.0297163152736578,"Up"
"HGSNAT",-2.1771412257225,5.65713045664479,0.00155964153324455,0.0315681544727114,"Down"
"PXYLP1",2.17313191637522,2.85064266995448,0.00294348225321377,0.0500837021185623,"Up"
"GALNT10",-2.16705662513305,6.61359133242664,0.00155830504725185,0.0315524529340822,"Down"
"HYAL3",2.15981480091568,0.781023786662513,0.0155279437440286,0.162155564938418,"Up"
"UGT2B28",-2.15806519275966,-0.922726105161687,0.0999758185423419,0.560871319397711,"Down"
"ELOVL5",-2.15370102096076,6.75806633165989,0.00164543726951403,0.0328556102619889,"Down"
"NDST1",-2.15339621421313,6.93828403951362,0.00164691294213082,0.0328734105501097,"Down"
"FN1",-2.14131188370428,10.8509381312696,0.00166405212870739,0.0331332445966865,"Down"
"SIGLEC15",-2.13854736982013,0.115326992663979,0.028743675911825,0.250135771710869,"Down"
"HS3ST1",-2.13465447394204,3.4472666071565,0.00267507783468407,0.0473792743719981,"Down"
"CD248",2.13290504220453,0.234671916760497,0.0281231456187105,0.246450908085846,"Up"
"BCAN",2.12464113631503,4.96798953819368,0.00211866096586446,0.0395406082548018,"Up"
"CLEC3B",2.12434809316057,0.599247741612407,0.0201656814153973,0.197168154224673,"Up"
"P3H3",2.11400616918222,5.69068815526042,0.00207873929303893,0.0389765349150309,"Up"
"UXS1",-2.09733070215246,7.24132959245447,0.00210626128050814,0.0393483452831715,"Down"
"ST8SIA6",-2.09645680481112,-1.59667054993223,0.282608695652174,1,"Down"
"GLT1D1",2.09031452820719,1.74156231880399,0.00627175742387733,0.0863483040088459,"Up"
"PIGF",2.08796371780188,3.90454321855449,0.00290488510445868,0.049622033983845,"Up"
"SDC3",-2.07503693147707,5.3643932963584,0.00253318970471994,0.0453660253007276,"Down"
"FUT10",-2.07321583915574,2.21199853475025,0.00590309181280144,0.0841340104393425,"Down"
"AKR1B1",-2.07088725652089,8.10297099031502,0.00232940282753906,0.0424734827293568,"Down"
"CSGALNACT1",-2.06040651382099,2.20194225056357,0.00623252592593578,0.0859343301461604,"Down"
"COG5",-2.01531577932096,5.40765425556837,0.00332854479626934,0.05500554688437,"Down"
"B3GALNT2",-2.01510477102693,3.16931539026608,0.00483128950365093,0.0723202524822916,"Down"
"ADAMTS4",-2.00810585606212,-1.01477994075551,0.137873920182766,0.708430975688436,"Down"
"CD44",-2.00670401053463,7.11731300242064,0.0031732953414988,0.0529825157102277,"Down"
"MPI",1.99391068358086,6.48540008303868,0.00339519093842771,0.0560082084181732,"Up"
"B4GALT5",-1.98986720059371,6.67497083788699,0.00346204788074268,0.0568278798720858,"Down"
"PHPT1",1.97158703810667,7.51845621805497,0.00365504076949426,0.0589806392482572,"Up"
"HAPLN2",1.9711815498096,0.314274232555481,0.0380057354751021,0.300991517163761,"Up"
"LCT",1.96536947593183,-1.73714112936262,0.43064182194617,1,"Up"
"SLC35D3",1.96536947593183,-1.73714112936262,0.43064182194617,1,"Up"
"C1GALT1",-1.96312177237846,6.63423909334775,0.00387507543517033,0.061874750187741,"Down"
"SPOCK3",1.96306050698689,1.31899704132555,0.0124341839118055,0.140156068616464,"Up"
"CD72",1.95697372294478,0.629943793827118,0.0302912486970679,0.259588527708698,"Up"
"PMM1",1.94790075390511,4.67609949586044,0.00460015112358868,0.0695888498396046,"Up"
"SHH",-1.94675253013199,1.21642534015851,0.0200702749143284,0.196508491239663,"Down"
"NDST3",-1.93856436385973,1.49195084735003,0.0155102972588591,0.16207996121846,"Down"
"DPM3",1.93216303078534,4.95021080963577,0.00483763071239606,0.0723766664599346,"Up"
"MAN1A2",-1.92364262731437,7.15162795926498,0.00456624438254227,0.0691906095951684,"Down"
"HAS1",1.91863182736197,-0.143196667630308,0.0638717177078008,0.425993519160767,"Up"
"SLC35D1",-1.91687752219888,3.88426471299182,0.00594523909917531,0.0845847430774957,"Down"
"FGF13",1.91000904740407,3.93177777393857,0.00619741768615025,0.0855956034097515,"Up"
"PIGA",-1.89893055127661,2.6993702912315,0.00826786579784694,0.105517019863699,"Down"
"GLB1L2",-1.89162910947319,1.06773074994218,0.0201570130834117,0.19711765192744,"Down"
"CHPF",1.89162655235493,8.80134788225346,0.00511878487602711,0.0759569900287895,"Up"
"DPY19L2P2",-1.89067508266693,0.950882479436985,0.0201887083948647,0.197324723409874,"Down"
"CHID1",1.88719938532622,6.52190546376725,0.00543184581116457,0.0797194919009961,"Up"
"CD83",-1.88092116934521,1.94735970417359,0.0134279891517645,0.149001823291021,"Down"
"CYB5R1",1.85779975429255,10.3854756620386,0.0058870141493703,0.0839686689913606,"Up"
"ADAMTS9",-1.85584922345096,5.20918457964665,0.00657419812707785,0.0894399309508084,"Down"
"MAN1C1",-1.8425480582991,5.49954356813726,0.00681345138173487,0.0917411093081693,"Down"
"POMK",-1.84073148584633,-1.11319833574147,0.191275790676091,0.837253789619055,"Down"
"ICAM2",-1.84073148584633,-1.11319833574147,0.191275790676091,0.837253789619055,"Down"
"IL6",-1.83384845289348,1.57409927699928,0.0198171326916133,0.194775587672382,"Down"
"M6PR",-1.82209330062012,7.55473151990613,0.00695356322940918,0.0932483435070603,"Down"
"B4GALT2",1.80881470881884,4.91035880983312,0.00815804816759763,0.104411412562564,"Up"
"ALDOC",1.79629227379194,3.30760012917973,0.0109092779192707,0.126359439942248,"Up"
"CTBS",-1.79472430708524,4.25172909013574,0.00910612022668768,0.111786124106649,"Down"
"PPP1R3F",1.78519138965192,4.828249136496,0.00892611621384906,0.111564556472029,"Up"
"FUT3",-1.78358768744523,-1.74725923266606,0.43064182194617,1,"Down"
"ARSF",-1.78358768744523,-1.74725923266606,0.43064182194617,1,"Down"
"GNPDA1",-1.78093945794174,6.98373665852238,0.00838054569052208,0.10652020001355,"Down"
"FGF11",-1.77743363452664,0.742457604743931,0.0334902018981447,0.281515537977935,"Down"
"GALNT5",-1.77674805671445,3.85359225733469,0.0102478520611848,0.120294020233134,"Down"
"TGFBR3",-1.7656144389753,1.86046041659384,0.0208790985223819,0.20297961208637,"Down"
"ANXA4",-1.75966200141223,6.76619372133676,0.00916194651461118,0.111786124106649,"Down"
"DPY19L2",-1.75345914759298,3.69219909620663,0.0117723519706941,0.134364801833466,"Down"
"USF3",-1.74527195701761,4.38879487373906,0.0111860236072561,0.128927972625295,"Down"
"PKD1L2",-1.7449766740638,0.429271915165976,0.0490757682987346,0.364595247742474,"Down"
"CHST7",1.74366653119997,1.61641717557581,0.0229431063473131,0.212998787503211,"Up"
"FBXO44",1.74204861498067,3.93945594084403,0.0115590063180602,0.132278569556829,"Up"
"SORD",-1.73049139819053,2.70830120654169,0.0169794492358115,0.173522816754428,"Down"
"PIGQ",1.72040940394198,5.78953460153557,0.0111355348882993,0.128424966720581,"Up"
"GALNT7",-1.71903137991988,8.02450793300983,0.0105882220153005,0.123326157023171,"Down"
"AGL",1.71806137229417,5.12316498454071,0.0116399464505831,0.132988456208703,"Up"
"PFKM",1.69600732242526,7.53822650646468,0.0116667242184566,0.133267337606239,"Up"
"FGFR1",-1.68641444729874,6.20575921651432,0.0125267757970345,0.141058464543393,"Down"
"GALNT1",-1.68351486134006,7.18348732864234,0.0123244875370243,0.139282303518943,"Down"
"AMDHD2",1.67554568852671,4.88255605225783,0.0140265911870293,0.150838497148613,"Up"
"NPL",-1.67436023717591,2.29467697661381,0.022190690058172,0.207407040703345,"Down"
"SPTLC1",-1.67391074640316,5.77084090601444,0.013297740824916,0.147787987058503,"Down"
"SLC2A3",1.66724796754596,6.25640713839417,0.0134415882501869,0.149121594883629,"Up"
"FGF14",-1.66287444970021,0.202663844175731,0.0741359843367163,0.472269636889244,"Down"
"B3GNT4",1.66166849677738,-0.0920116069632402,0.101168536513916,0.56564724499312,"Up"
"FGF22",1.65133782352308,-0.580041061818826,0.187025841917751,0.828617058369458,"Up"
"PGAP1",-1.65003578105301,3.95555769587903,0.0169493957383615,0.173278624418944,"Down"
"GMPPA",1.64999699691958,5.1759199303122,0.0150833819298092,0.158551619243122,"Up"
"PLPP1",1.64547502892814,5.51132337687969,0.01493759420861,0.157489879805935,"Up"
"SLC2A4",1.64360268653514,4.45862077974449,0.015896769365906,0.165218935251231,"Up"
"SGPL1",-1.64227902643297,6.32027379030693,0.014748930723612,0.155896813288783,"Down"
