"uniprotkb_canonical_ac","xref_key","xref_id","do_id","mondo_id","mim_id"
"O15305-1","protein_xref_genomics_england","PMM2","0080552","0008907","212065"
"Q8WZA1-1","protein_xref_genomics_england","POMGNT1","0111236","0009667","253280"
"Q8WZA1-1","protein_xref_genomics_england","POMGNT1","0110292","0013161","613157"
"Q8WZA1-1","protein_xref_genomics_england","POMGNT1","","0014929","617123"
"Q8NAT1-1","protein_xref_genomics_england","POMGNT2","0111231","0013904","614830"
"Q9H5K3-1","protein_xref_genomics_england","POMK","0111235","0014101","615249"
"Q9Y6A1-1","protein_xref_genomics_england","POMT1","0111229","0009364","236670"
"Q9Y6A1-1","protein_xref_genomics_england","POMT1","0050588","0013159","613155"
"Q9Y6A1-1","protein_xref_genomics_england","POMT1","0110297","0012248","609308"
"Q9UKY4-1","protein_xref_genomics_england","POMT2","0111240","0013154","613150"
"Q9UKY4-1","protein_xref_genomics_england","POMT2","0112380","0013160","613156"
"Q9UKY4-1","protein_xref_genomics_england","POMT2","0110298","0013162","613158"
"Q96AA3-1","protein_xref_genomics_england","RFT1","0080566","0012783","612015"
"Q15437-1","protein_xref_genomics_england","SEC23B","0111401","0009134","224100"
"P78382-1","protein_xref_genomics_england","SLC35A1","0070258","0011342","603585"
"P78381-1","protein_xref_genomics_england","SLC35A2","0070265","0010478","300896"
"Q96A29-1","protein_xref_genomics_england","SLC35C1","0070255","0009953","266265"
"Q9NTN3-1","protein_xref_genomics_england","SLC35D1","0050775","0010013","269250"
"O43826-1","protein_xref_genomics_england","SLC37A4","","0030437","619525"
"Q9C0K1-1","protein_xref_genomics_england","SLC39A8","0070266","0014746","616721"
"Q9H8P0-1","protein_xref_genomics_england","SRD5A3","0080568","0012885","612379"
"Q9H8P0-1","protein_xref_genomics_england","SRD5A3","0050807","0012991","612713"
"P51571-1","protein_xref_genomics_england","SSR4","0080574","0010490","300934"
"Q11203-1","protein_xref_genomics_england","ST3GAL3","0080414","0014003","615006"
"Q11203-1","protein_xref_genomics_england","ST3GAL3","0081180","0012612","611090"
"Q9UNP4-1","protein_xref_genomics_england","ST3GAL5","0060470","0018274","609056"
"P46977-1","protein_xref_genomics_england","STT3A","","0859223","619714"
"P46977-1","protein_xref_genomics_england","STT3A","0080572","0014270","615596"
"Q9HC07-1","protein_xref_genomics_england","TMEM165","0070263","0013870","614727"
"Q8N511-1","protein_xref_genomics_england","TMEM199","0070268","0014790","616829"
"Q13454-1","protein_xref_genomics_england","TUSC3","0081183","0012615","611093"
"Q86Y38-1","protein_xref_genomics_england","XYLT1","0060462","0014343","615777"
"Q9H1B5-1","protein_xref_genomics_england","XYLT2","","0011604","605822"
