"gene_id","log2FoldChange","padj"
"1311",10.1423034815299,1.14353089648582e-18
"343068",8.42690782671222,3.91916533962211e-07
"653619",8.32772321404869,8.05906657823625e-07
"6363",8.17025599368139,5.37368557798455e-08
"441873",8.16199817823327,1.28572784951724e-06
"645359",8.16150456945906,1.2858928585139e-06
"400735",8.0946752814669,3.95575220781046e-07
"440560",8.07037390290969,1.27484476999691e-06
"125997",7.9950730071899,5.93146484170331e-06
"343070",7.97206832881359,9.06145058396898e-07
"653657",7.78700694728312,8.4772570873847e-06
"1755",7.78687038442204,4.05206794775563e-08
"440561",7.78420708752741,9.56667363497883e-07
"653656",7.66978034567778,1.10946029307138e-05
"101929983",7.59591973492067,4.54806201666503e-06
"284428",7.59155485511881,1.23129575945632e-05
"65122",7.54137831322714,1.42928089355817e-05
"65121",7.49440685023893,4.63315702664343e-06
"5320",7.43405266840876,6.7915007986868e-13
"28796",7.37649687328116,2.11329260142928e-05
"6423",7.10690775828026,5.30063253847639e-13
"3500",6.99088156051777,2.05508365231469e-08
"100129128",6.95798990330229,2.75045209518374e-06
"10568",6.87945416673769,1.76291871233764e-06
"441871",6.8523223478259,0.000277290863983133
"390999",6.75954604809129,0.000163182492211507
"129868",6.64349806724992,4.9636441910371e-05
"11075",6.63275143947077,3.72393148977146e-05
"4314",6.60135630253662,3.19342924948452e-06
"1672",6.58073532135225,3.24599675843634e-05
"57093",6.56876754741536,6.47647319087678e-05
"64102",6.56039901492324,2.26160032042599e-11
"642612",6.53179728984303,8.66755598832637e-05
"11081",6.52420964876494,8.2212323395183e-08
"391002",6.48487941643302,1.92654932922998e-05
"653192",6.4582124518694,6.94831591001972e-05
"54209",6.3083867184074,3.01239695860359e-07
"3503",6.25688442485654,2.08087551504726e-07
"649330",6.24853437108146,7.78163918438421e-05
"3514",6.19733431157746,2.6548778939276e-07
"1029",6.16010584668266,8.28777058877188e-09
"148113",6.15829444933074,1.89818813793054e-06
"771",6.15539125260785,1.69925597789689e-08
"63924",6.14982007707386,2.33656698106805e-08
"729528",6.140007543265,0.00027628214083919
"343069",6.10593920620853,0.000183258962200719
"6362",6.10071602741577,4.75555313305697e-08
"8900",6.05141310731288,3.23457128181871e-07
"114805",6.00805908144706,3.26568324272741e-06
"970",6.00160263070212,1.15788293368678e-05
"440563",5.97065122718798,0.000212441110157157
"28444",5.96060838050588,0.0016763783250699
"5950",5.95471440269959,1.01314128184491e-09
"3952",5.93874594452853,6.18067415236289e-09
"642569",5.9222066941536,0.000282493603313706
"442247",5.90972422606295,4.0753600775943e-06
"8908",5.89149547825243,2.5211155210864e-08
"101060301",5.83995016543668,7.57779175998972e-05
"56301",5.81080147461809,8.45650987349346e-07
"9982",5.80651831900912,8.05170835535873e-05
"56265",5.79424525097928,1.77610133056011e-06
"51378",5.79332625155938,1.16649266679687e-06
"79953",5.77121853739207,6.55320866118003e-06
"28874",5.75421217255621,0.0005419614620203
"284217",5.73086128474742,6.51936572738102e-06
"342900",5.71242316532178,0.000987885575316268
"1149",5.69007678182393,7.9860351890386e-07
"85329",5.67656791730851,3.23343334599867e-08
"207107",5.6666713076445,5.59670928140748e-05
"391004",5.65764140200338,0.00020047977124548
"6696",5.64755142636516,2.87891214374187e-08
"9370",5.64297604039585,2.51381537456871e-08
"3538",5.63963532558838,1.9296523081322e-06
"794",5.63221519503937,5.24785702727363e-08
"8038",5.59804997670483,3.3423246609949e-11
"283116",5.5926165009992,0.0025384569220553
"55894",5.58735881367334,0.00393385543587021
"55894",5.58735881367334,0.00393385543587021
"80704",5.5803182393739,1.64940541002902e-07
"3501",5.53750060965425,1.01154802000667e-06
"63982",5.52675851171549,1.73395309325271e-05
"28442",5.52649636559495,0.000339487867045148
"10249",5.52261787951728,4.0391094929209e-06
"3963",5.52113800224553,0.00012611446832283
"28434",5.49611503695103,0.00120391794123557
"3539",5.46280128045976,3.51971430833007e-06
"126638",5.4434914321112,0.00502187567712608
"201516",5.40291346290365,6.65784544339424e-07
"116372",5.38017782007107,7.44961078526916e-05
"28775",5.36592432628664,0.0319081005532343
"391769",5.35123006360998,8.70196426234238e-05
"8685",5.32668260709871,2.5211155210864e-08
"8785",5.31894773323112,0.000386568109155818
"28778",5.31075082736352,0.0106503078835023
"283208",5.30867613748229,1.09367949077616e-08
"389827",5.30083843645281,8.3343330420941e-06
"10418",5.29458467303916,3.3423246609949e-11
"10216",5.29282940667888,2.46853627386704e-12
"338645",5.2918089700908,3.87685145560866e-06
"28876",5.28239701325555,0.00867087832389946
"105372978",5.22664403473843,2.57167134125085e-05
"338557",5.216924536719,3.57767745324506e-06
"220296",5.21158091152446,1.51068974432831e-05
"28439",5.19910386342501,0.000843292172999096
"28825",5.19444212610642,0.000864521692459255
"2348",5.18466525189137,0.000556111439247469
"84152",5.18463265079455,1.24507231731436e-06
"55200",5.18199819803143,4.28923178693624e-06
"1277",5.14592509417014,2.33656698106805e-08
"5794",5.10260949735479,8.1925858259526e-07
"4808",5.08594083455932,5.09042523261711e-06
"84767",5.0812973677174,0.000190204700926063
"114569",5.06629635198968,0.000445382688974039
"3852",5.06469666712995,7.63586043159861e-05
"28938",5.05194209197294,0.0228410253546785
"5346",5.04466638387825,1.06476360402722e-07
"28823",5.04392849984017,0.0013702034596574
"6534",5.04265979656035,4.74132647214202e-05
"114827",5.04019787945835,1.27411191403827e-06
"340273",5.02876465341727,0.00208159352154575
"284110",4.99930243971374,2.39482142622036e-05
"399939",4.99641926830815,0.000118986546296554
"342931",4.97840891856267,0.000527944588476429
"3036",4.97619311515855,9.25314334950452e-05
"810",4.95818294191172,0.00148017697706848
"100505633",4.95440797816031,1.66175639959278e-06
"729384",4.9454440641143,0.000211433067453226
"2151",4.94015764089485,0.000139367848339231
"100423062",4.93616625392113,0.000402015947333579
"5105",4.93439000750059,5.6836779693804e-08
"28816",4.93214095970555,0.00133129608830184
"28834",4.91436968138193,0.0229045800789341
"28882",4.89527624931979,0.00994697603844632
"28912",4.88941881665621,3.42688835940552e-05
"374",4.86870398994438,2.23069105374504e-05
"3963",4.86384145616122,0.00012611446832283
"28940",4.83941768773702,0.000210246493119755
"1582",4.81610666840121,9.21931870968852e-06
"100507254",4.7902569494265,1.5920657688839e-05
"391003",4.78208137504387,0.000912466611738969
"28817",4.77837840722458,0.00223550245353391
"3502",4.77628177706317,6.60300271988151e-06
